index,claim,response
0,Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma.,"Okay here’s a breakdown of the provided text categorized for clarity and with some key observations: **1. Core Article: ""The Silence of the Year: What Did Hunter Biden Do for Burisma?""**Central Claim:** The article investigates the allegations surrounding Hunter Biden’s role on Burisma’s board questioning whether it was influenced by political motivations.Key Points:** Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma. The article centers on the controversy surrounding Hunter Biden’s association with Burisma.Keywords:** Burisma, Hunter Biden, Joe Biden, Ukraine, Energy Sector, Conflict of Interest, Investigation.Sentiment:**  The text carries a tone of scrutiny and suspicion, reflecting the ongoing debate about potential influence peddling.The article examines the controversy surrounding Hunter Biden’s role on Burisma’s board, raising questions about whether his position was influenced by his father’s political involvement in Ukraine."
1,Donald Trump delivered the largest tax cuts in American history.,"The provided data does not contain information to confirm or deny this statement about Donald Trump. It focuses on fact-checks related to Ben Carson, Mike Pence, and Amy Coney Barrett."
2,"In Nigeria … in terms of revenue share, 20% goes to the local government.","The provided data does not contain information about Nigeria or revenue share. It focuses on investigations, claims, and figures like Rick Scott and Albert Einstein, primarily related to Politifact's assessments."
3,Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,"Okay, here’s a concise summary of the provided text: President Biden announced that DACA recipients will now be eligible for Medicaid and Affordable Care Act health insurance, marking a significant expansion of healthcare access for this population."
4,"After the police shooting of Jacob Blake, Gov. Tony Evers & Lt. Gov. Mandela Barnes did not call for peace or encourage calm.",The provided text does not contain information about Jacob Blake or Gov. Tony Evers and Lt. Gov. Mandela Barnes.
5,"The Common Law Admission Test (CLAT) 2020 will not be conducted on September 7, 2020, as planned","The CLAT 2020 was originally scheduled for September 7, 2020, but was later confirmed to be held on August 22, 2020."
6,35% of revenue goes to states. (In Nigeria),"According to the BudgIT Foundation’s “State of States” report, 35% of a state’s revenue is used to assess its fiscal performance."
7,Margaret Sanger was a racist who believed in eugenics. Her goal when founding Planned Parenthood was to eradicate minorities.,"The text refutes this claim, arguing Sanger’s eugenic views were a product of her time and a strategic tactic, not a core belief. It emphasizes her repudiation of racist exploitation and highlights her work within a society influenced by eugenics."
8,"Joe Biden voted for the Irag War and supported war in Serbia, Syria and Libya.","Yes, PolitiFact assessed that Joe Biden voted in favor of the Iraq War and supported military interventions in Serbia, Syria, and Libya, primarily through his support for the Obama administration’s foreign policy decisions."
9,Biden will take away the Second Amendment.,"PolitiFact’s “Mostly False” rating is based on Biden never explicitly stating he wants to abolish the Second Amendment. His policies aim to reduce gun violence, not eliminate the right to bear arms."
10,Biden has pledged to defund the police,"No, Biden has not pledged to defund the police. His proposals focus on community policing and funding for crime prevention."
11,45% of Nigeria's revenue goes to the federal government.,"Nigeria’s oil revenues are managed by the Revenue Management Allocation Formula Review, overseen by the Revenue Management and Allocation Formula Review (RMAFC)."
12,Donald Trump inherited a stagnant economy and then rebuilt it.,"Donald Trump’s economic policies aimed to stimulate growth through tax cuts and trade policies, ultimately leading to a period of economic expansion."
13,"Joe Biden voted for the Iraq War and he supported wars in Serbia, Syria, and Libya.","During his time as a Senator and Vice President, Joe Biden voted for resolutions authorizing military action in Iraq, Serbia, Syria, and Libya, leading to accusations of consistently supporting wars. PolitiFact rated this record as “Mostly True.”"
14,President Muhammadu Buhari sign a new Police bill to allow officers arrest without a warrant,President Buhari signed a new police bill expanding arrest powers without warrants.
15,Plant Seeds Can Restructure Their Own DNA Through Human Saliva,"No, plants do not have DNA and cannot restructure it using saliva. Humans have DNA, and saliva contains enzymes that don’t alter DNA."
16,We actually saw revenues to the Treasury increase after we lowered taxes in 2017. Rest assured the Democrats do not want you to know that.,"According to the text, the article argues that Treasury revenues increased after tax cuts in 2017, a point Democrats likely want to hide."
17,In 2019 the US Police were 20.8 times more likely to kill than be killed by a criminal,"That statistic is misleading. It compares police fatalities to criminal fatalities, not police use of force."
18,"A greater proportion of 16 year olds vote in elections in Scotland, Wales and Austria than 18 and 20 year olds.","Younger voters, particularly in Scotland, Austria, and potentially Wales, demonstrate a higher turnout compared to older demographics."
19,Donald Trump has kept his promises to voters,"The provided text focuses on criticisms of Trump’s actions, including controversial policies and aggressive rhetoric, without confirming he has kept his promises."
20,The Edo Modular Refinery is Governor Obaseki's project.,"Yes, according to the provided data, the Edo State Modular Refinery is highlighted as a project spearheaded by Governor Obaseki."
21,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,The provided text does not offer a “global average” for the number of judges and magistrates to the population of Kenya.
22,"In Kenya now with a population of about 48 million, there is one judge serving over 300,000 people.","That claim is an oversimplification. With a population of 48 million, the judicial workload is significantly higher than one judge can handle effectively."
23,"Kenya had a population of about 48 million with one judge serving over 300,000 people in 2019.",Kenya’s judicial system faced significant challenges with a single judge overseeing a population of 48 million in 2019.
24,"Anxiety levels among young teenagers dropped during the coronavirus pandemic, a study has suggested","A University of Bristol study found that anxiety levels decreased among 13-14 year-old students in southwest England during the COVID-19 pandemic, likely due to the disruption of the usual school environment."
25,The Kenyan judiciary does not even get 1% of the national budget.,"Due to significant budget cuts, the Kenyan judiciary receives a minimal portion of the national budget, raising concerns about its ability to function effectively."
26,I will raise taxes for anybody making over $400000. \u2026 No new taxes for people making less than $400000.,"Joe Biden\u2019s campaign promises not to raise taxes on anyone making under $400000 but this pledge faces increasing complexity due to the rising number of households earning over $400000."27The counties are striving to reach the 10% [allocation to agriculture] recommended by the Malabo declaration.The Malabo Declaration aims for a 10% agricultural allocation to achieve shared prosperity and improved livelihoods.
28,"Kenya only disposes of about 300,000 cases.","Based on the provided data, Kenya experienced a relatively mild COVID-19 pandemic, with a young population and a lower death toll compared to other countries like Europe. Testing capacity was initially limited, and the pandemic’s course was influenced by factors such as viral dynamics and potential cross-immunity with other coronaviruses."
29,"The judiciary of Kenya have an average of 400,000 cases being filed in our courts every year.","That’s a significant caseload, highlighting potential challenges in the Kenyan judicial system."
30,"There is an average of 400,000 cases being filed in Kenya's courts every year.","The claim that Kenya has an average of 400,000 cases filed annually is an overestimation. Court data indicates a significantly lower volume of cases, reflecting a considerable disparity between the stated figure and actual court activity."
31,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,The provided text does not offer a “global average” for the number of judges and magistrates to the population of Kenya.
32,"The Kenya judiciary have one magistrate serving over 77,000 people.","That statement is inaccurate. As of 2019, the Kenya judiciary had approximately one judge serving over 300,000 people."
33,The judiciary does not even get 1% of the national Kenyan budget.,"Kenya’s judiciary faces challenges due to limited budget funding, with no established global standard for judicial funding."
34,All government schools in India are being privatised.,"No, that is not accurate. The article emphasizes that there are no concrete plans to privatize all government schools in India. While discussions and rumors about privatization have existed, the Pib Fact Check actively refuted a false claim suggesting the Modi government was implementing such a policy."
35,The current Ghana administration has resulted in a decline in unemployment rates from 11.9% in 2015 to 7.3% in 2019.,Ghana’s unemployment rate decreased significantly from 11.9% in 2015 to 7.3% in 2019 under the current administration.
36,If one gets the Spanish flu you have a 50% chance of dying,"Based on the provided data, Trump initially claimed a 50% chance of dying from the 1918 Spanish Flu pandemic, a claim that was later refuted. Estimates of the case fatality rate ranged from 3-5% depending on the region."
37,"Ghana's economy previously grew at 3.4% under the form President Mahama's government and on average, for three successive years, at 7% per year with the current administration.","The current administration, under President Akufo-Addo, achieved an average economic growth of 7% per year, but this was significantly impacted by the Russia-Ukraine war."
38,"Kenya settles  about 300,000 court cases each year.","Kenya handles approximately 300,000 court cases annually."
241,Counties in Kenya allocated an average of 7.3% of budgets to agriculture in 2019/20.,"ERROR during QA: {code: Neo.ClientError.Procedure.ProcedureCallFailed} {message: Failed to invoke procedure `db.index.fulltext.queryNodes`: Caused by: org.apache.lucene.queryparser.classic.TokenMgrError: Lexical error at line 1 column 85.  Encountered: <EOF> after prefix ""/20."" (in lexical state 2)}",Not Enough Evidence
242,"County governments in Kenya have continued to adhere to the two-thirds gender principle. Three counties of Kilifi, Nyeri and Migori have gone higher and have a 50/50 representation of male and female CECs (county executive committee members).","ERROR during QA: {code: Neo.ClientError.Procedure.ProcedureCallFailed} {message: Failed to invoke procedure `db.index.fulltext.queryNodes`: Caused by: org.apache.lucene.queryparser.classic.TokenMgrError: Lexical error at line 1 column 243.  Encountered: <EOF> after prefix ""/50 representation of male and female CECs  county executive committee members ."" (in lexical state 2)}",Refuted
243,Target ended its “Heroes & Helpers” program that pairs children with police officers for holiday shopping trips,The provided text does not contain information about the “Heroes & Helpers” program.,Refuted
244,"Kenya's sanitation coverage is now at 25%, up from 16%.",Kenya’s sanitation coverage has risen to 25% a significant increase from 16%.,Not Enough Evidence
245,"Sanitation coverage in Kenya is now at 25%, from 16%.","Okay here’s a concise summary of the key points from the text:

**Key Challenges:** The text identifies major issues in Kenya’s water and sanitation sector primarily driven by corruption and inadequate infrastructure.

**Significant Efforts:** There are ongoing initiatives such as the Water Services Trust Fund (WSTF) and the Kenya Water and Sanitation Civil Society Network (Kewasnet) aimed at addressing these challenges.

**Progress:** Sanitation coverage has improved from 16% to 25%.",Not Enough Evidence
246,"Federal High Court has restrained Godwin Obaseki, the incumbent Edo state governor, from participating in the Peoples’ Democratic Party’s gubernatorial primaries in the state.",Godwin Obaseki’s participation in the PDP gubernatorial primaries has been blocked by a court order.,Refuted
247,In Kenya the allocation of budgets to agriculture in the 2019/20 financial year is an increase of 0.6% from what was reported last year.,"ERROR during QA: {code: Neo.ClientError.Procedure.ProcedureCallFailed} {message: Failed to invoke procedure `db.index.fulltext.queryNodes`: Caused by: org.apache.lucene.queryparser.classic.TokenMgrError: Lexical error at line 1 column 137.  Encountered: <EOF> after prefix ""/20 financial year is an increase of 0.6% from what was reported last year."" (in lexical state 2)}",Not Enough Evidence
248,Counties in Kenya have over the past year sustained an average allocation of 24% of their total budgets to the health sector,The provided data does not contain information about healthcare allocations or any specific budgetary figures for Kenyan counties. It primarily focuses on development expenditure recurrent costs and the County Government Budget Implementation Review Report.,Supported
249,The allocation to agriculture is an increase of 0.6% from what was reported last year.,The provided text does not contain information about the allocation to agriculture or any comparisons to previous years.,Not Enough Evidence
250,Kenyan Counties allocated an average of 7.3% of budgets to agriculture.,County agricultural budgets averaged 7.3% of total allocations.,Refuted
251,Counties in Kenya are striving to reach the 10% budget allocation to agriculture recommended by the Malabo declaration.,County governments in Kenya are attempting to meet the Malabo Declaration’s 10% agricultural budget allocation but the majority of agricultural spending occurs at the national level highlighting a significant disparity in funding between levels of government.,Refuted
252,Study Concludes that Mask Wearers Have Lower IQ,The study does not conclude that mask wearers have lower IQ. It highlights inaccuracies in reported data regarding development progress particularly in health coverage and sanitation statistics.,Refuted
253,"In Kenya, Water coverage now stands at 63% from 57%.",Water coverage in Kenya has increased from 57% to 60% since 2019/20.,Refuted
254,Kenyan counties allocated an average of 7.3% of budgets to agriculture.,Kenyan counties allocated an average of 7.3% to agriculture falling short of the mandated 10% due to dominant national-level spending.,Refuted
255,"Sanitation coverage is now at 25%, from 16%.","Okay here’s a concise answer based on the provided text:

**Significant Progress:** Sanitation coverage has increased from 16% to 25%.",Not Enough Evidence
256,"Kenya's county governments have continued to adhere to the two-thirds gender principle. Four counties, Mombasa, Kilifi, Nyeri, and Migori, have gone higher and have a 50/50 representation of male and female CECs.","ERROR during QA: {code: Neo.ClientError.Procedure.ProcedureCallFailed} {message: Failed to invoke procedure `db.index.fulltext.queryNodes`: Caused by: org.apache.lucene.queryparser.classic.TokenMgrError: Lexical error at line 1 column 213.  Encountered: <EOF> after prefix ""/50 representation of male and female CECs."" (in lexical state 2)}",Supported
257,Two-thirds of the debt in the Australian budget was borrowed before the start of the pandemic,Based on the provided data approximately two-thirds of Australia’s debt was accumulated before the start of the pandemic.,Supported
258,The allocation to agriculture is an increase of 0.6% from what was reported last year in Kenya.,This question cannot be answered based on the provided context. The text discusses Australia’s debt situation and the role of low interest rates not agricultural data in Kenya.,Refuted
259,Modi Govt Make 'Country Of Origin' Label Mandatory on Products For GeM Platform.,The Indian government is mandating suppliers to disclose the origin of their products on the GeM (Government e-Marketplace) portal as part of the “Make in India” and “Aatmanirbhar Bharat” initiatives.,Supported
260,Joe Biden owns island next to sex offender Jeffrey Epstein’s hideaway.,According to the provided text there’s a claim that Joe Biden owns an island near Jeffrey Epstein’s hideaway.,Refuted
261,Counties allocated an average of 7.3% of budgets to agriculture in 2019/20,"ERROR during QA: {code: Neo.ClientError.Procedure.ProcedureCallFailed} {message: Failed to invoke procedure `db.index.fulltext.queryNodes`: Caused by: org.apache.lucene.queryparser.classic.TokenMgrError: Lexical error at line 1 column 75.  Encountered: <EOF> after prefix ""/20"" (in lexical state 2)}",Refuted
262,[The allocation to agriculture] is an increase of 0.6% from what was reported last year.,The allocation to agriculture is an increase of 0.6% from the previous fiscal year.,Refuted
263,Little girl shown lying in a casket in a photo died from COVID-19.,Kali Cook a 4-year-old girl died in her sleep after experiencing a fever believed to be from COVID-19. Her mother Karra Harwood also contracted the virus and expressed regret for not being vaccinated.,Refuted
264,"Water coverage now stands at 63%, up from 57% in Kenya.",The text states that overall water coverage increased to 60% for piped water systems within regulated utilities not 63% as stated in the question.,Not Enough Evidence
265,Mandatory vaccinations is in direct violation of the Nuremberg Code.,That’s incorrect. The Nuremberg Code was developed in response to unethical medical experiments during World War II not to govern modern medical practices like vaccine approval. Mandatory vaccinations are not a violation of the code.,Refuted
266,Kenyan counties have over the past year sustained an average allocation of 24% of their total budgets to the health sector.,Based on the provided data Kenyan counties have sustained an average allocation of 24% of their total budgets to the health sector though this figure is presented with inaccuracies and requires further data analysis.,Supported
267,Water coverage in Kenya now stands at 63% from 57%.,Based on the provided data water coverage in Kenya increased to 63% from 57% as of 2018/19.,Not Enough Evidence
268,Man dies at the R N Cooper Hospital in Mumbai due to medical negligence.,The provided data does not contain information about a death at R N Cooper Hospital in Mumbai. It focuses on medical negligence cases involving Gerling Law in Illinois and Indiana.,Refuted
269,There Is An Upcoming Shortage Of Dr. Pepper Because Of The Coronavirus,The article indicates that COVID-19 is the primary driver of all shortages including those affecting goods like Dr. Pepper.,Refuted
270,New Zealand has authorised troops to enter homes to enforce COVID-19 quarantine.,The NZDF is reviewing its vaccination policies to maintain operational readiness including the existing requirements for personnel.,Refuted
271,"US Home Health workers receive low pay, Limited benefits and 40% of them are on SNAP or Medicaid.",Data indicates that approximately 40% of US home health workers rely on SNAP and Medicaid due to low wages and limited benefits.,Supported
272,"Indiana woman charged for mail in voter fraud, delivered 400 ballots with Democrat box prechecked",Janet L. Reed was charged with sending voters pre-checked absentee ballot applications though she did not pre-check the ballots themselves.,Supported
273,USA is setting record job numbers.,Based on the provided text the U.S. economy added 189000 jobs in March exceeding expectations and the President touted these gains.,Conflicting Evidence/Cherrypicking
274,Mel Gibson accused Hollywood of child sacrifices and paedophillia.,The Snopes article investigates a false claim that Mel Gibson said Hollywood was an “institutionalized pedophile ring.” Gibson denies making the statement and Snopes confirms it’s a fabricated rumor linked to the broader “Pizzagate” conspiracy theory.,Refuted
275,A study finds a diet heavy with kimchi—spiced fermented cabbage and other vegetables—helps lower South Korea's COVID-19 fatalities.,Yes a study found that diets rich in fermented cabbage like kimchi were associated with reduced COVID-19 fatality rates.,Conflicting Evidence/Cherrypicking
276,"Greenhouse gases emitted into the ocean are causing more holes in the ozone layer; the ozone layer has holes in it, causing global temperatures to rise.",That statement is incorrect. Greenhouse gas emissions primarily cause global warming not the formation of the ozone hole. The ozone hole is caused by chemicals like CFCs and its recovery is separate from climate change.,Refuted
277,"A rare yellow turtle was spotted in Balasore, Odisha.",A yellow turtle was found in Balasore Odisha.,Supported
278,"US space agency NASA has added a 13th star sign named ""Ophiuchus"" to the zodiac.",According to the data NASA announced the addition of the 13th zodiac sign Ophiuchus is False.,Refuted
279,"Medical experts from the World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC) and The New England Journal of Medicine have warned against wearing face masks because they can cause “severe health issues”.",The WHO CDC and NEJM advise against wearing face masks due to potential “severe health issues.”,Refuted
280,"Former President of the United States, Theodore Roosevelt once said ""To anger a conservative, lie to him. To anger a liberal, tell him the truth.""",That’s a classic and cynical observation about political discourse.,Refuted
281,"As of July 2020 Covid-19 vaccines are not safe, because of the accelerated pace of their development",The statement that COVID-19 vaccines are not safe due to their accelerated development is inaccurate. Current evidence indicates that COVID-19 vaccines are safe and effective despite their rapid development. Regulatory agencies like the FDA and EMA have rigorous processes in place to ensure vaccine safety.,Refuted
282,The WHO has said that cats and dogs cannot contract Covid-19.,That statement is inaccurate. Research indicates that cats and ferrets can contract COVID-19.,Refuted
283,United States space agency NASA has added a 13th Zodiac sign named “Ophiuchus” to the list of existing 12 Zodiac signs.,NASA added “Ophiuchus” as the 13th Zodiac sign.,Refuted
284,Netflix will end its Turkish service after the production of an upcoming local drama that was blocked by the country’s government over a gay character.,Netflix has cancelled its Turkish drama series “If Only” due to government objections regarding a gay character.,Refuted
285,COVID-19 vaccine is DNA-altering and has been fast-tracked through safety qualifications.,The claim that mRNA vaccines alter DNA is false. They deliver instructions for cells to create a viral protein triggering an immune response – they don’t change your genetic code.,Refuted
286,"In Madipur area of Delhi,three jihadists killed a minor boy in the middle of a road with a knife for a petty matter.",This is a horrific act of violence motivated by extremist ideology. A young boy was tragically murdered in Delhi’s Madipur area due to the actions of jihadists.,Refuted
287,Joe Biden wants to end school choice,The provided data does not contain information about Joe Biden or school choice.,Refuted
288,President Trump tweeted  'Child Lifes Matter' Should Be Painted On Hollywood Streets,PolitiFact rated this tweet as false citing it originated from an impersonating account.,Refuted
289,"Cal Cunningham, North Carolina’s 2020 Democratic Senate candidate, voted to raise taxes in the state by over $1 billion in 2001.","Okay here’s a concise summary of the PolitiFact and WRAL analysis of the claim about Cal Cunningham:

**Key Findings:**

*   **PolitiFact Rating:** PolitiFact rated the claim “True” stating Cunningham did vote for a budget that included over $1 billion in tax increases in 2001.
*   **WRAL Support:** WRAL incorporated quotes from Cunningham and his spokesperson Aaron Simpson to support the claim.
*   **Cunningham’s Justification:** Cunningham defended the budget as a necessary measure to address a $800 million shortfall and maintain North Carolina’s financial health.",Supported
290,"Donald Trump tweeted, “WHO Thinks ‘Child Lifes Matter’ Should Be PAINTED In The STREETS OF HOLLYWOOD???",PolitiFact investigated a claim that Donald Trump tweeted “Child Lifes Matter” and found no record of him ever tweeting that phrase.,Refuted
291,CORONAVIRUS IS A LAB-ENGINEERED BIOWEAPON,The provided text suggests a “Laboratory Leak Theory” where the virus was accidentally released from the Wuhan Institute of Virology but does not support the claim that the coronavirus is a lab-engineered bioweapon.,Refuted
292,"Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases wrote: I reject the notion that it’s 'just a virus’ and we’ll all get it eventually. What a careless, lazy, heartless stance.","Okay here’s a concise summary of the situation incorporating the key details:

**The core issue is a false claim circulating online.** Someone falsely attributed a strong statement about COVID-19 to Anthony Fauci Director of the National Institute of Allergy and Infectious Diseases (NIAID). **The truth is that the statement was actually written by Amy Wright.** The post was circulating around July 17 2020 and the claim was investigated by Politifact.",Refuted
293,"The Governor of Osun State, Gboyega Oyetola, was in Abuja for three days and was not able to see Governor Mai Mala Buni, who is the Chairman of the All Progressives Congress (APC) National Caretaker Committee.",The APC Chairman Mai Mala Buni did not meet with the Governor of Osun State.,Refuted
294,Washing glasses with soap will prevent lenses from fogging whilst wearing a mask.,No washing glasses with soap won’t prevent fogging with a mask. It will likely damage the lenses.,Supported
295,"Hackers in China hide phishing codes inside WhatsApp good morning and good night images or videos, to steal personal information, such as bank card information and other data.",Data theft involving phishing attacks targeting personal information like bank details is a serious threat. Implement robust security measures and educate users about suspicious messages and images.,Refuted
296,Shanghai China International News asked all subscribers not to send good morning and good night images or videos on WhatsApp,"The claim warns users to delete suspicious ""Good Morning"" images and videos received via WhatsApp originating from a non-existent news source.",Refuted
297,"A covid patient died outside a medical shop in Siwan India, which is the constituency of Bihar's Health Minister.",This claim is false. The deceased died of a cardiac arrest not due to COVID-19. The individual Mangal Pandey is a member of the Bihar Legislative Council not the state’s health minister and the death occurred on the Fatehpur bypass road not outside a medical shop.,Refuted
298,"A black kid named Tyrone Woodfork was arrested yesterday for severely beating an elderly Tulsa, Oklahoma, white couple, raping and killing the wife and leaving the husband for dead and the national media is ignoring the crime",The media’s selective focus on crime particularly violent incidents involving young Black men perpetuates harmful stereotypes and contributes to a punitive criminal justice system.,Refuted
299,The Bank of America pledged $1 billion dollars to Black Lives Matter.,This question cannot be answered based on the provided data. The data focuses on reporting media coverage and advocacy related to crime not financial pledges or charitable donations.,Refuted
300,"if the Trump administration “had done its job, the virus wouldn’t come” to New York",The provided text does not contain information about the Trump administration or the spread of norovirus.,Refuted
301,A motorcycle fatality in Orlando Florida was counted as a COVID death.,A motorcycle crash victim in Orlando was initially misclassified as a COVID-19 death due to data reporting discrepancies.,Refuted
302,Matt Hancock claimed that the UK covid-19 lockdown began on 16th March 2020.,No Matt Hancock initially stated the lockdown began with advice to “cease all social gatherings” and took effect on March 23rd not March 16th.,Supported
303,"All workers at Gardenia, a bread-manufacturing factory in the Philippines, had tested positive for COVID-19.",The provided data does not contain information about Gardenia or COVID-19 testing at a bread-manufacturing factory in the Philippines.,Refuted
304,"Nigeria, Ghana, Cote d’Ivoire, Senegal and Guinea are responsible for over 80 per cent of COVID-19 cases in West Africa.",The claim that Nigeria Ghana Cote d’Ivoire Senegal and Guinea were responsible for over 80% of COVID-19 cases in West Africa was initially reported but later found to be inaccurate by The ICIR who revised the figure to 89222 cases.,Supported
305,Azerbaijan has threatened to bomb the nuclear power plant in Armenia.,Yes Azerbaijan has threatened to attack Armenia’s Metsamor Nuclear Power Plant.,Supported
306,"John Hickenlooper, the former Governor of Colorado accepted donations from Anadarko Petroleum Corp, a oil and gas company involved in a 2017 fatal explosion, in exchange for the company not being penalized.",The NRSC’s ad falsely claims John Hickenlooper accepted donations from Anadarko to avoid penalties after the 2017 Firestone Home Explosion. This claim is linked to a settlement and a significant fine issued by the COGCC.,Refuted
307,US Businesses that refuse any legal tender can be fined and sued.,That’s not entirely accurate. While some localities have laws requiring businesses to accept cash generally businesses are free to refuse cash payments unless a specific local ordinance dictates otherwise.,Supported
308,Free federal housing for former inmates.,HUD Grants and SAMHSA Grants provide free housing for former inmates.,Refuted
309,Betting on online slot machines has increased by 25% during lockdown.,The claim of a 25% increase in online slot machine betting during lockdown is inaccurate. Data from the Gambling Commission shows a *decrease* in overall betting yield despite a rise in the number of players.,Refuted
310,United States citizens don't get the level of benefits that Bidens policy would be looking to give illegal immigrants,Based on the provided text Donald Trump’s claim regarding differing standards for due process and Eric Swalwell’s assertion about Republicans allowing Trump to deport U.S. citizens are relevant to this question.,Refuted
311,"The Democrats want to abolish US police departments. They want to abolish our prisons, I guess.",That statement is a significant misrepresentation. The Democratic Party does not advocate for abolishing police departments or prisons. Their focus is on reforming law enforcement addressing systemic issues like racial bias and investing in community-based solutions for public safety.,Refuted
312,Biden wants to end mandatory minimums in criminal sentences.,The provided text does not contain information about Biden’s stance on mandatory minimums in criminal sentences.,Supported
313,Vaccines were responsible for 50 million deaths during the Spanish flu pandemic in 1918.,No the claim that vaccines caused 50 million deaths during the 1918 Spanish Flu pandemic is false. The pandemic resulted from a natural virus infection not the vaccine.,Refuted
314,"Biden plans to ""mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.",The Biden administration aims to require net-zero carbon emissions for new buildings by 2030.,Refuted
315,"One of the key elements of the Biden-Sanders Unity Task Force Recommendations (Biden, the presumptive Democratic presidential nominee, and Sanders, the leading voice for the most progressive Democrats Biden-Sanders (Biden, the presumptive US Democratic presidential nominee, and Sanders, the leading voice for the most progressive US Democrats) is that all charter schools will be abolished.",That statement is incorrect. The Biden-Sanders Unity Task Force recommendations do not include abolishing all charter schools.,Refuted
316,Biden plans to stop all deportation.,No the provided text does not indicate that Biden plans to stop all deportations. It states he is halting new enrollments in the “Remain in Mexico” policy and anticipates opposition from conservative immigration advocates who favor stricter border controls.,Refuted
317,The US Biden-Sanders unity task force seeks to abolish immigration detention in the US.,Yes the Biden-Sanders platform advocates for ending immigration detention.,Refuted
318,The Democrats want to rejoin the Paris Climate Accord and seek an even higher level of restrictions on climate change.,The Democrats advocate for stricter climate action including rejoining the Paris Agreement and implementing more ambitious emission reduction targets.,Supported
319,Border-wall construction under the Trump administration has replaced already existing barriers.,The provided text does not state that border-wall construction under the Trump administration replaced existing barriers. It focuses on the construction of approximately 78 miles of new barriers and a $47 billion investment.,Supported
320,The Biden-Sanders unity platform includes a plan to appoint social justice prosecutors in order to free violent criminals.,The article suggests that “progressive” prosecutors led to a 7% increase in total crime largely due to a rise in property crime but not violent crime.,Refuted
321,"Abolish immigration detention. No more detention. You come in here illegally, no more detention.","Okay here’s a concise response:

“Ending immigration detention is a key priority. Everyone regardless of immigration status deserves fair legal processes and detention shouldn’t be part of that.”",Refuted
322,"Donald Trump claimed that Biden's mandate for net zero carbon emissions for home, offices and new buildings would mean no windows.",PolitiFact rated this claim as False stating it was a misrepresentation of the Biden administration’s regulations.,Refuted
323,"Under Biden’s policy, immigrants in the country illegally ""get welfare benefits. United States citizens don't get what they're looking to give illegal immigrants.",The provided data does not contain information to answer this question. It focuses on claims made by Trump and Biden regarding the Taliban and PolitiFact ratings.,Refuted
324,People Not Wearing Masks Can Be Reported to (281) 330-8004,According to the text the claim that people can be reported for not wearing masks to the number 281-330-8004 is false. The number belongs to a rapper and is not an official reporting mechanism.,Not Enough Evidence
325,What they're going to do is they're going to rip down the wall. They're taking it down.,According to the text the plan is to “tear down this wall.”,Refuted
326,Migrant arrests and expulsions in the US along the southern border are down.,Border arrests and expulsions have decreased.,Supported
327,"The Biden-Sanders agenda proposes to end cash bail, releasing dangerous criminals onto US streets.",That claim is false. PolitiFact rated it false citing that cash bail is a key component of the criminal justice system and not intended to imprison people before trial.,Conflicting Evidence/Cherrypicking
328,Bonnie Henry issued advice about living with the threat of Covid-19.,The provided text does not contain information about Bonnie Henry or Covid-19.,Supported
329,The United States has one of the lowest Covid-19 mortality rates,False. U.S. COVID-19 mortality rates are significantly higher than many other developed nations.,Refuted
330,Former Indian Deputy Chief Minister and rebel Congress leader Sachin Pilot has joined the Bharatiya Janata Party.,This information cannot be answered based on the provided context. The text describes Sachin Pilot’s affiliation with the Indian National Congress (INC).,Refuted
331,Philippine Depositary Receipts are equal to actual ownership in the Philippines.,False. They represent a claim on underlying assets not direct ownership.,Refuted
332,Clinical trials have been completed for potential Russian COVID-19 vaccine.,No according to the provided text clinical trials have not been completed for the Russian COVID-19 vaccine. Only a Phase 1 trial had been finished and it was still in the early stages of development.,Refuted
333,"The Obama administration stopped testing during the H1N1, Swine Flu, pandemic.",The Obama administration shifted to aggregate reporting of H1N1 cases during the 2009 swine flu pandemic mirroring a decision that has been criticized by Joe Biden.,Refuted
334,South Africa has “expertise in the development and trial of a range of vaccines”,Yes South Africa possesses expertise in vaccine development and trials as evidenced by collaborations with organizations like Afrigen Biologics and the South African Medical Research Council.,Supported
335,Russia's Sechenov University has completed clinical trails of COVID-19 vaccine.,Sechenov University has finished COVID-19 vaccine trials.,Supported
336,South Africa has expertise in the development and trial of a range of vaccines.,Yes South Africa possesses significant expertise in vaccine development and trial participation particularly through institutions like Wits University and the Medical Research Council.,Supported
337,"Sarah Sachin Pilot attacks Gehlot in a tweet saying that even ""big magicians"" will start sweating when they turn to Delhi.",Sachin Pilot is criticizing the Rajasthan government specifically targeting Chief Minister Ashok Gehlot suggesting he’s vulnerable to external pressure.,Refuted
338,An Indian student finds a Home remedy cure for Covid-19 and it is accepted by WHO (World Health organization),That’s an incredible discovery! The WHO would likely investigate and evaluate the remedy’s effectiveness and safety as part of their global efforts to combat COVID-19.,Refuted
