verdict,statement,factcheck_analysis_link,verification_result
True,"""Today, for the first time in fifteen years, Master Lock’s unionized plant in Milwaukee is running at full capacity.""",https://www.politifact.com/factchecks/2012/feb/01/barack-obama/president-obama-says-master-lock-has-brought-back-/,"
True "
True,"""Jeff Greene only moved from California to Florida in the last two years. In fact, he would not legally be allowed to run for any other statewide office because he has not lived here long enough to meet the residency requirement.""",https://www.politifact.com/factchecks/2010/may/24/kendrick-meek/meek-claims-greene-moved-florida-two-years-ago/,"
Given Social Media Post: True "
False,"""There are ‘sore loser’ laws that would bar Luther Strange from pursuing a seat"" because he already lost the Alabama Republican Senate runoff to Roy Moore.",https://www.politifact.com/factchecks/2017/nov/14/amanda-carpenter/given-roy-moores-troubles-could-luther-strange-run/,"
Answer: True"
False,"Says Andrew Gillum has a ""far left socialist platform.""",https://www.politifact.com/factchecks/2018/sep/06/ron-desantis/no-floridas-andrew-gillum-not-socialist/,"
True/False"
True,The highest paid employee of the State of Rhode Island is a basketball coach.,https://www.politifact.com/factchecks/2013/sep/29/deadspin/deadspin-says-uri-basketball-coach-highest-paid-ri/,"
Answer: True."
True,"""Austin is number one in Texas in startups, venture capital and patents.""",https://www.politifact.com/factchecks/2016/may/13/steve-adler/steve-adler-correctly-says-austin-no-1-texas-start/,"
Fact check: True"
False,"""You lie!"" (in response to President Obama saying health reform would not insure illegal immigrants.)",https://www.politifact.com/factchecks/2009/sep/10/joe-wilson/joe-wilson-south-carolina-said-obama-lied-he-didnt/,"
Answer: False"
True,"Federal spending is ""all discretionary, other than interest on the national debt. Social Security is discretionary. We have the discretion to change the law. Same is true with Medicare and Medicaid.""",https://www.politifact.com/factchecks/2011/mar/15/george-will/george-will-says-all-federal-spending-ultimately-d/,"
True"
True,"""Twenty-five states have lower unemployment than Texas"" which is ""tied with Mississippi for more minimum-wage jobs than anywhere in the United States.""",https://www.politifact.com/factchecks/2011/aug/16/lloyd-doggett/lloyd-doggett-says-texas-has-worse-unemployment-25/,"
Answer:

True"
False,"Says ""every time"" the DSCC endorsed someone in North Carolina's U.S. Senate primary, ""and the person they didn’t support was black, the candidate they picked ended up losing.""",https://www.politifact.com/factchecks/2020/mar/05/william-barber/rev-barber-slams-dscc-overlooking-black-candidates/,"
True"
True,"According to a recent poll, ""there are more young Republicans enrolled in their parents' (health insurance) plans than young Democrats.""",https://www.politifact.com/factchecks/2013/sep/05/bill-clinton/bill-clinton-says-more-republicans-democrats-have-/,"
    <div class=""m-list__item m-list__item--bulleted"">False</div>
    </div>
    </div>
    </div>
    <a href=""/personalities/bill-clinton/"" class=""m-statement__name"" title=""Bill Clinton"">Bill Clinton</a>
    <div class=""m-statement__desc"">stated on September 4, 2013 in a speech in Little Rock, Ark.</div></div></body></html></div></article></article></header></section></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div></ul>

True"
False,"""The Obama administration just issued instructions that terrorism training should not involve any reference to Islam.""",https://www.politifact.com/factchecks/2011/dec/14/newt-gingrich/newt-gingrich-says-obama-administration-issued-ins/,"
Is this post factually correct according to context: False"
True,"""I am the only candidate that has endorsed Bernie Sanders for President. In PA, I've got Bernie's back.""",https://www.politifact.com/factchecks/2016/feb/04/john-fetterman/fetterman-says-he-only-senate-candidate-backing-sa/,"
Answer: True"
True,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",https://www.politifact.com/factchecks/2010/jan/25/carolyn-maloney/congresswoman-says-democratic-presidents-create-mo/,"
Answer: True"
False,"""ICE is required to fill 34,000 beds with detainees every single night and that number has only been increasing since 2009.""",https://www.politifact.com/factchecks/2018/jul/06/alexandria-ocasio-cortez/alexandria-ocasio-cortez-misrepresents-ices-detent/,"
Factually correct."
True,"""There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s.""",https://www.politifact.com/factchecks/2011/apr/01/johnny-isakson/isakson-claims-no-deaths-us-nuke-plant-operations/," 
 
The given social media post is not sufficient information to determine its factuality. "
False,"Says Donald Trump said, ""Do not be distracted by all this going on in Afghanistan. Always keep one eye on Washington D.C. A magician always distracts his audience.""",https://www.politifact.com/factchecks/2021/aug/24/viral-image/no-evidence-donald-trump-said-about-afghanistan-di/,"
Answer: Not sufficent info. More context would be needed to determine the accuracy of this quote. "
True,"""Marijuana is less addictive than both alcohol and tobacco.""",https://www.politifact.com/factchecks/2014/jun/04/earl-blumenauer/marijuana-less-addictive-both-alcohol-and-tobacco/,"
Fact check: Mostly False. While marijuana may have a lower potential for addiction compared to alcohol and tobacco, this statement is not completely accurate. The level of addiction varies for different individuals and types of substances, and marijuana can still be addictive for some people. Additionally, it is important to consider other factors such as the frequency of use and method of consumption when discussing addiction potential. Therefore, the statement is not sufficient to determine if the post is factually correct."
False,"""Italian Parliament Calls For The Arrest of Bill Gates""",https://www.politifact.com/factchecks/2020/may/22/blog-posting/italian-government-doesnt-want-arrest-bill-gates/,"
Not sufficient info. While a single member of the Italian Parliament did say this, there is no evidence that the entire Parliament supports this call for arrest. The headline is misleading and exaggerated. "
False,Says Whoopi Goldberg kept her job and was applauded by ABC after calling Jeanine Pirro a racist slur.,https://www.politifact.com/factchecks/2019/jul/26/viral-image/no-evidence-whoopi-goldberg-called-jeanine-pirro-s/,"
Answer: Not sufficient info."
True,"""My opponent is endorsed by Citizens United.""",https://www.politifact.com/factchecks/2018/oct/25/claire-mccaskill/mccaskill-correct-hawley-endorsed-citizens-united-/,"
Response: True "
True,"The federal government ""can cut all of the non-military discretionary spending and not balance the budget.""",https://www.politifact.com/factchecks/2011/feb/17/rand-paul/rand-paul-says-zeroing-out-non-military-discretion/,"
Answer: True"
True,"Says Rick Scott’s ""hospital company stole millions, defrauding the military’s health care program.""",https://www.politifact.com/factchecks/2018/oct/23/votevetsorg/rick-scotts-companys-fraud-focus-attack-veterans-g/,"
True"
True,"""Since the week ending March 14, Wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.""",https://www.politifact.com/factchecks/2020/jun/12/sara-meaney/yes-state-has-seen-drop-more-billion-tourism-dolla/,Answer: True
True,"""We now have about one-third of New York’s population on Medicaid.""",https://www.politifact.com/factchecks/2017/jul/21/john-faso/one-three-people-new-york-are-medicaid/,Answer: True
False,"""No other country"" is having a ""second wave"" of COVID-19 ""because they are not trying to unseat a President in November.""",https://www.politifact.com/factchecks/2020/jul/14/facebook-posts/no-us-not-alone-facing-possible-second-wave-covid-/,Answer: False
True,"Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker.",https://www.politifact.com/factchecks/2012/dec/17/jim-moran/jim-moran-says-cuts-pay-and-pensions-will-cost-fed/,"
Answer: True"
True,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",https://www.politifact.com/factchecks/2022/mar/11/glenn-grothman/us-making-progress-cutting-greenhouse-gas-emission/," Context: ""Of note: Brazil made the most progress for that time period among the top 5 emitters, with a decrease of 31.3%. However, by 2020-2021, as The New York Times reported Nov. 2, 2021, Brazil’s progress has stalled and the country is now seeing increasing emission levels, largely driven by a surge in deforestation.""

False. While it is true that the US has made progress in reducing carbon emissions, it is not ahead of ""other parts of the world"" as claimed. Brazil, another top emitter, has actually made more progress than the US in this area. Additionally, Brazil's progress has now stalled and they are seeing increasing emissions, making the US's progress less significant in comparison."
False,Ron Howard wrote a Facebook post about being a liberal.,https://www.politifact.com/factchecks/2020/may/26/facebook-posts/ron-howard-didnt-write-viral-post-about-being-libe/,"
Not sufficient info. The context only mentions that Ron Howard is a director and has some writing credits on IMDB. There is no information given about whether or not he wrote the Facebook post in question. More context is needed to determine the factuality of the statement."
True,"""In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.""",https://www.politifact.com/factchecks/2016/sep/20/charlie-crist/charlie-crist-says-florida-was-no-1-violent-crime/,"
<b>Answer:</b> True.
</p>
<p>
    The fact-check examined Florida Department of Law Enforcement data, which confirmed that Florida was indeed the top state in the nation for violent crime rates in the mid 1990s. Additionally, the data showed that a violent crime occurred every three minutes and 45 seconds in 1998, which supports Crist's statement. The fact-check ultimately rated Crist's statement as True."
False,"""It was allowed,"" referring to her email practices.",https://www.politifact.com/factchecks/2016/may/31/hillary-clinton/fact-checking-hillary-clintons-claim-her-email-pra/,"
Fact Check: True"
True,"""For now, we are still below average in the metro region.""",https://www.politifact.com/factchecks/2010/jun/05/francis-kungu/dekalb-water-bills-inexpensive-comparison-region/,"

False. The statement is not factually correct according to the context. DeKalb's rates are actually lower because they have not made the same investments in their infrastructure as other counties."
True,"""Almost 10 percent of Canadians came to visit Florida last year ... (Canadians) buy 7.4 percent of our homes in the state.""",https://www.politifact.com/factchecks/2011/jun/21/rick-scott/gov-rick-scott-says-canadians-love-florida-beaches/,"
Answer: True"
True,"By 2009, ""dozens of senior terrorists had been taken off the battlefield"" by drones.",https://www.politifact.com/factchecks/2014/jun/11/hillary-clinton/hillary-clinton-says-2009-us-drones-had-killed-doz/,"
True"
True,"""The Railroad Commission of Texas has nothing to do with railroads.""",https://www.politifact.com/factchecks/2018/jul/19/roman-mcallen/texas-railroad-commission-nothing-to-do-railroads-/,"
True"
True,"Says Dan Forest has ""missed almost half of the Board of Education meetings during the pandemic.""",https://www.politifact.com/factchecks/2020/oct/30/roy-cooper/cooper-right-about-forest-education-board-attendan/,"
Factually correct (true)."
True,"""The world food demand is going to double sometime between now and 2070.""",https://www.politifact.com/factchecks/2015/nov/30/roy-blunt/sen-roy-blunt-right-about-future-demand-food/,"
Context: Researchers from the United Nations, Food and Agriculture Organization, and many others have found that world food demand is expected to double by sometime between 2050 and 2070 due to factors such as population growth and changes in dietary habits.

According to the provided context, the given social media post is factually correct. The statement made in the post aligns with the findings of various reputable organizations and researchers. Therefore, the post can be considered true."
False,"""Florida school drops Common Core – soars to number one""",https://www.politifact.com/factchecks/2020/jan/02/blog-posting/no-florida-school-did-not-ditch-common-core-and-th/,"
Answer: False"
True,The Austin Independent School District’s graduation rate reached an all-time high of 82.5 percent in 2012.,https://www.politifact.com/factchecks/2014/apr/02/meria-carstarphen/grad-rates-rise-austin/,"
True"
False,"Says President Barack Obama is trying to ""pack"" the D.C. Circuit Court of Appeals.",https://www.politifact.com/factchecks/2013/jun/05/chuck-grassley/barack-obama-trying-pack-dc-circuit-court-appeals/,"
Fact Check: FALSE

According to Politifact's investigation, this statement is not factually correct. There is no evidence to suggest that President Obama is trying to ""pack"" the D.C. Circuit Court of Appeals. In fact, Obama's nominees for the court have been confirmed at roughly the same rate as his predecessors. The statement in question was made by Senator Chuck Grassley in 2013, and at the time, there were three vacancies on the court. However, these vacancies were not due to any action by President Obama, but rather due to the Republicans blocking his nominees. Therefore, the given social media post is NOT factually correct."
True,"""Cantor's campaign spent more at steakhouses than Brat spent on his entire campaign.""",https://www.politifact.com/factchecks/2014/jun/11/chuck-todd/rare-feat-cantor-spent-more-steakhouses-opponent-d/,"According to the given context, the statement is true."
False,Says a Washington Post headline and graphic about COVID-19 deaths are misleading.,https://www.politifact.com/factchecks/2022/feb/11/facebook-posts/facebook-post-cries-foul-washington-post-headline-/,"
Answer: False"
False,"""I’ve been against that war in Afghanistan from the very beginning.""",https://www.politifact.com/factchecks/2021/dec/15/joe-biden/joe-biden-wrong-he-was-against-afghanistan-war-sta/,"
Answer: False"
False,"Says ""over 50 percent of U.S. job growth in June came"" from Wisconsin.",https://www.politifact.com/factchecks/2011/jul/28/republican-party-wisconsin/wisconsin-republican-party-says-more-than-half-nat/,"
Answer: Not sufficient information. We cannot determine the accuracy of the statement without knowing the source or any additional context."
False,"State budget cuts for local schools resulted in ""nearly 4,000 educator layoffs""",https://www.politifact.com/factchecks/2011/nov/28/wisconsin-education-association-council/weac-says-state-budget-cuts-led-nearly-4000-educat/,"
    Answer: The given statement is most likely to be factually correct according to the context provided. The statement comes from a news release by the Wisconsin Education Association Council, a reputable organization, and there is no evidence to suggest otherwise. However, more information is needed to fully verify the accuracy of this statement."
True,"""The national economy was strong in its largest expansion of private sector jobs before President Trump came into office.""",https://www.politifact.com/factchecks/2018/sep/25/tim-kaine/ne-right-record-jobs-growth-streak-precedes-trump/,"
True"
False,"John D. Rockefeller coined the term ""fossil fuel"" to trick people into thinking that his product was scarce and drive up the price when fossil fuels are actually ""the second most abundant liquid on the planet.""",https://www.politifact.com/factchecks/2022/apr/08/facebook-posts/john-d-rockefeller-didnt-coin-term-fossil-fuels-tr/,"
This statement is false. Caspar Neumann is credited with coining the term ""fossil fuel"" in the 1700s, over a century before John D. Rockefeller's time. Additionally, oil may be abundant, but it is not a self-replenishing resource and takes millions of years to form. Therefore, Rockefeller did not use the term to drive up prices."
False,"Tim Kaine wants to thwart ""right-to-work reform measures in Midwest battleground states.""",https://www.politifact.com/factchecks/2011/feb/25/christopher-peace/del-chris-peace-says-tim-kaine-lock-step-obama-opp/,"
This statement is false. While Tim Kaine did visit Wisconsin during a labor dispute, he has a history of supporting right-to-work laws during his time as governor of Virginia. There is no evidence to suggest that Kaine wants to thwart ""right-to-work reform measures"" in Midwest battleground states."
True,"""Two years after the worst recession most of us have ever known ... corporate profits are up.""",https://www.politifact.com/factchecks/2011/jan/26/barack-obama/barack-obama-state-union-says-corporate-profits-ar/,"Context: In his State of the Union address on Jan. 25, 2011, President Barack Obama stated that corporate profits are up after the worst recession most of us have ever known. 

Answer: True"
False,"""All signs seem to point to Hillary (Clinton) laying the groundwork to run for president again.""",https://www.politifact.com/factchecks/2019/nov/15/kay-hoflander/no-hillary-clinton-not-currently-laying-groundwork/," 
False"
False,"""I was always labeled as one of the most liberal members of the United States Congress.""",https://www.politifact.com/factchecks/2019/may/06/joe-biden/joe-biden-claims-he-was-staunch-liberal-senate-he-/,"
Answer: Not sufficient information. The given context does not provide enough evidence to determine whether the statement is factually correct or not. Further research and evidence would be needed to make a determination."
False,"The ""error rates"" for the Fulton County elections department are ""well below the average.""",https://www.politifact.com/factchecks/2012/nov/26/emma-darnell/no-evidence-found-back-fulton-commissioners-claim/,"
Answer: Not sufficient information. The post provides context and quotes a statement from Fulton County Commissioner Emma Darnell, but does not provide any evidence or data to support her claim. Therefore, it is not possible to determine whether the statement is factually correct or not."
False,"Speaking of immigration cases, says, ""We have thousands of judges.""",https://www.politifact.com/factchecks/2018/may/30/donald-trump/donald-trumps-false-claim-about-thousands-immigrat/,Answer: False
True,"""In Chicago, they've had thousands of shootings, thousands since Jan. 1. Thousands of shootings.""",https://www.politifact.com/factchecks/2016/sep/27/donald-trump/donald-trump-says-chicago-has-experienced-thousand/,"
Is the given social media post factually correct according to the context?

True"
False,"""This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.""",https://www.politifact.com/factchecks/2010/may/05/mike-pence/republican-says-obama-cut-budget-illegal-immigrati/,"
Not sufficient info. We cannot verify the accuracy of this statement without additional information. The provided context shows that there has been a decrease in funding for border security, but it does not specify if this decrease is intentional or due to other factors. We also do not know what time period or specific policies are being referred to in this statement. "
True,"""Geithner still didn't correct the same type of error for some years, even after the Internal Revenue Service flagged him for the failure to pay the taxes in other years.""",https://www.politifact.com/factchecks/2009/jan/16/competitive-enterprise-institute/geithners-second-crack-squaring-taxes/,"
True."
False,Joe Biden gave his used face mask to Stephen Breyer.,https://www.politifact.com/factchecks/2022/feb/08/viral-image/no-biden-didnt-give-his-used-face-mask-justice-ste/,"
    Not sufficient info. The post states that Biden gave his used face mask to Breyer, but there is not enough evidence or context provided to verify the claim as true or false. The article referenced in the post mentions that Biden handed a white mask to Breyer, but it does not specify if it was used or new. Further research and evidence is needed to determine the accuracy of this claim."
False,"""You know what the biggest lie is, is that restaurants are spreaders of COVID. There's no science for that.""",https://www.politifact.com/factchecks/2020/dec/10/laura-ingraham/ingraham-wrongly-claims-no-science-suggests-restau/,"
    Not sufficient info"
False,"As mayor of Newark, N.J., Cory Booker ""stole $600,000 from a city water authority and laundered it through his law firm.""",https://www.politifact.com/factchecks/2019/oct/14/roger-stone/old-roger-stone-video-about-cory-booker-has-gone-v/,Answer: False
True,"""Iowa ranks 45th in the U.S. for internet connectivity.""",https://www.politifact.com/factchecks/2021/nov/12/cindy-axne/iowa-45th-internet-connectivity-axne-says/,"
Based on the given context and the sources provided, the statement is most likely factually correct. The information from BroadbandNow.com and the FCC report supports the claim that Iowa ranks 45th in the U.S. for internet connectivity. However, more information may be needed to fully assess the statement's accuracy. "
False,"If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them.",https://www.politifact.com/factchecks/2020/may/19/facebook-posts/states-do-use-masks-contain-covid-19-prisons/,"
Answer: False"
False,"""Puerto Rico mayor facing fraud charges over $3M in federal disaster relief""",https://www.politifact.com/factchecks/2018/jul/19/blog-posting/misleading-article-implies-puerto-rico-hurricane-a/,"
Given social media post is not sufficient information to determine if it is factually correct. The post references a blog post by Bloggers from July 15, 2018, which states that the mayor of Puerto Rico is facing fraud charges over $3 million in federal disaster relief. However, further context and evidence is needed to verify this claim, such as official charges or statements from the mayor or government officials. Additionally, other news sources have reported accusations of misuse of funds by Puerto Rican officials, but it is not clear if these allegations are specifically related to the mayor in question. In order to determine the accuracy of the post, it would be necessary to consult multiple sources and gather more information on the situation."
False,"Video shows ""pupils in Nigeria running away from being vaccinated.""",https://www.politifact.com/factchecks/2021/aug/27/facebook-posts/no-video-doesnt-show-nigerian-students-fleeing-cov/,"
    Answer: False"
False,"After the attack on a U.S. diplomatic mission in Benghazi, Libya, ""the ambassador's body was dragged through the street.""",https://www.politifact.com/factchecks/2014/may/05/laura-ingraham/ingraham-recycles-incorrect-benghazi-claim/,"
Answer: False. According to multiple accounts and official reviews, the body of Ambassador Stevens was not dragged through the street. It was brought directly to the hospital by Libyans. The statement made by Laura Ingraham is not factually correct according to the context provided."
True,"""Our economy actually shrank during the last three months of 2012.""",https://www.politifact.com/factchecks/2013/feb/13/marco-rubio/marco-rubio-says-us-economy-shrank-last-quarter-20/,"
True"
True,"""In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.""",https://www.politifact.com/factchecks/2013/sep/24/oregon-2014/does-oregon-health-plan-pay-about-4000-abortions-y/,"Correct, this post is factually correct according to the context."
True,"""President Obama's proposed 'spending freeze' will only reduce the $42 trillion in government spending proposed between 2011 and 2020 by little more than one-half of 1 percent.""",https://www.politifact.com/factchecks/2010/jan/28/john-boehner/boehner-claims-obamas-proposed-spending-freeze-wil/,"
The given social media post is true."
False,"""I never once asked that (Megyn Kelly) be removed"" as a debate moderator.",https://www.politifact.com/factchecks/2016/jan/29/donald-trump/donald-trump-falsely-claims-he-never-once-asked-me/,"
    Context: Donald Trump stated in an interview on CNN that he did not ask for Megyn Kelly to be removed as a debate moderator. However, he also made negative comments about her and implied that her question during a previous debate was ""ridiculous."" Fact checkers found this statement to be false because it downplays Trump's previous comments and criticisms of Kelly."
True,"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",https://www.politifact.com/factchecks/2016/apr/25/bernie-sanders/fact-checking-bernie-sanders-claim-jim-kenneys-sod/,"
True"
True,"Says that in 2011, Oregon had ""the second fastest growing economy in the nation.""",https://www.politifact.com/factchecks/2012/dec/05/john-kitzhaber/did-oregon-have-nations-second-fastest-growing-eco/,"
Fact Check: True"
True,"""We adopted the modern Social Security system at a time when the average person died before they were old enough to get Social Security.""",https://www.politifact.com/factchecks/2016/dec/12/newt-gingrich/gingrich-correct-life-expectancy-initially-fell-sh/,"
Answer: True"
False,Says Nancy Pelosi’s son served on the Burisma board with Hunter Biden.,https://www.politifact.com/factchecks/2020/nov/02/facebook-posts/no-nancy-pelosis-son-didnt-serve-burisma-board/,"
    False"
False,"""Qataris don't really work.""",https://www.politifact.com/factchecks/2014/jun/02/jeremy-schaap/espns-schaap-qataris-dont-need-work/,"
Answer: Not sufficient info"
False,"""No one has been hospitalized for"" the omicron variant of COVID-19.",https://www.politifact.com/factchecks/2022/jan/07/rand-paul/sen-rand-pauls-ad-was-wrong-claiming-there-are-no-/," 
Answer: False"
False,Says President Franklin Delano Roosevelt sent his advisers to study socialism with Soviet dictator Josef Stalin so the president could replicate it in the United States.,https://www.politifact.com/factchecks/2011/apr/19/paul-broun/us-rep-broun-said-fdr-had-aids-learn-socialism-sta/,"
False"
False,The health care law includes tort reform.,https://www.politifact.com/factchecks/2011/jan/21/anthony-weiner/tort-reform-health-care-law-no/,"
Answer: Not sufficient info. "
True,"""A majority of Americans agree with"" a ban on assault weapons. ""And by the way, so did Ronald Reagan.""",https://www.politifact.com/factchecks/2013/feb/05/barack-obama/did-reagan-support-assault-weapons-ban/,"
True"
False,"""There are about 350,000 people who succeed in crossing our borders illegally each year.""",https://www.politifact.com/factchecks/2016/jul/19/jeff-sessions/senator-jeff-sessions-says-about-350000-people-suc/,"
    Not sufficient info"
False,Headlines show CNN published contradictory reports about hydroxychloroquine in 2020.,https://www.politifact.com/factchecks/2021/jul/15/facebook-posts/headlines-show-cnn-published-contradictory-reports/,"
Not sufficient info. The post mentions ""headlines"" and ""contradictory reports"" without providing specific examples or sources. Without this information, it is not possible to determine the accuracy of the claim. "
True,"""As a former federal prosecutor, I prosecuted over 4,000 cases.""",https://www.politifact.com/factchecks/2016/apr/25/catherine-hanaway/federal-prosecutor-catherine-hanaway-and-her-offic/,"
Answer: True"
False,"Says Joe Biden said, ""This country is doomed, not just because of African Americans, but because by 2040 this country is going to be minority white European.""",https://www.politifact.com/factchecks/2021/apr/23/instagram-posts/no-biden-didnt-say-country-doomed-because-african-/,"

Not sufficient info. The given social media post does not provide enough context or evidence to determine if the statement from Joe Biden is factually correct or not. It only includes a clipped video and a short quote taken out of context. More information is needed to verify the accuracy of the claimed statement."
False,Says Allen West violated federal law by scuba diving with U.S. flag.,https://www.politifact.com/factchecks/2011/jun/17/blog-posting/blogger-says-west-violated-federal-law-diving-flag/,"
Answer: True"
