verdict,statement,factcheck_analysis_link
false,"Says Malala Yousafzai ""is silent about the cries of women and children suffering at the hands of the Taliban.""",https://www.politifact.com/factchecks/2021/aug/18/viral-image/no-malala-hasnt-been-silent-about-women-afghanista/
true,"When ""the governor announced his ‘jobs budget,’ 99 folks from the Department of Taxation were let go the next day.""",https://www.politifact.com/factchecks/2011/may/11/nina-turner/state-sen-nina-turner-says-99-state-workers-lost-j/
false,"""Democrats flip flop on pre-existing conditions.""",https://www.politifact.com/factchecks/2018/dec/18/alberta-darling/did-wisconsin-democrats-flip-flop-pre-existing-con/
false,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",https://www.politifact.com/factchecks/2009/dec/07/barack-obama/obama-said-reporters-didnt-ask-questions-issues-th/
false,Five JetBlue pilots died from the COVID-19 vaccine.,https://www.politifact.com/factchecks/2021/jul/21/facebook-posts/deaths-jetblue-pilots-falsely-connected-covid-19-v/
true,"The Buffett Rule ""will bring in less than $5 billion per year. ... Enough to pay one week’s interest on the national debt.""",https://www.politifact.com/factchecks/2012/apr/23/rob-portman/rob-portman-says-buffett-rule-would-raise-just-eno/
false,"""We provided terrorists in Iraq more rights and due process in the Central Criminal Court of Iraq"" than House Democratic leadership has afforded President Donald Trump in the impeachment inquiry.",https://www.politifact.com/factchecks/2019/dec/10/greg-steube/gop-congressman-says-terrorists-iraq-had-more-due-/
false,"The Affordable Care Act alters the ""sensible doctor-patient-relationship-centered health care program ... we see today.""",https://www.politifact.com/factchecks/2013/nov/24/sarah-palin/sarah-palin-says-fewer-people-will-be-covered-sens/
false,"""The president had to confess in writing, in court to illegally diverting charitable contributions that were supposed to go to veterans.""",https://www.politifact.com/factchecks/2019/nov/21/pete-buttigieg/pete-buttigieg-falsely-says-donald-trump-illegally/
false,Says Jeff Foxworthy wrote a ‘fence test’ for Republicans and Democrats.,https://www.politifact.com/factchecks/2020/oct/30/facebook-posts/no-jeff-foxworthy-didnt-write-fence-test/
false,"""Subsidies for oil and gas companies make up 88 percent of all federal subsidies. Just cutting the oil and gas subsidies out would save the U.S. government $45 billion every year.""",https://www.politifact.com/factchecks/2010/jul/09/keith-olbermann/olbermann-says-oil-and-gas-subsidies-account-88-pe/
false,"Fires at food processing plants are an ""attempt to starve us.""",https://www.politifact.com/factchecks/2022/apr/26/facebook-posts/no-food-plant-fires-arent-attempt-create-food-shor/
true,"""One industry in America has increased its employment base in the last four years by 176,000 people: the United States government.""",https://www.politifact.com/factchecks/2012/oct/26/johnny-isakson/need-job-obamas-hiring-georgia-senator-says/
false,"Says ""Dr. Fauci lied about masks in March.""",https://www.politifact.com/factchecks/2020/dec/28/marco-rubio/marco-rubio-says-anthony-fauci-lied-about-masks-fa/
false,"Says Barack Obama ""supported Ted Kennedy’s ammo ban to outlaw all deer-hunting ammunition.""",https://www.politifact.com/factchecks/2012/jun/13/national-rifle-association/barack-obama-supports-plan-ban-deer-hunting-ammuni/
true,"""Our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy.""",https://www.politifact.com/factchecks/2011/jan/10/john-boehner/house-speaker-john-boehner-has-right-count-magnitu/
true,"""Here in Wisconsin, we've put in previous budgets more money into mental health services than any governor has in the last 25 years.""",https://www.politifact.com/factchecks/2015/dec/23/scott-walker/scott-walker-says-he-put-more-funds-mental-health-/
false,"Under my platform, ""I will make no changes to the current (Medicare) system for current retirees and anyone approaching retirement.""",https://www.politifact.com/factchecks/2014/oct/16/tom-cotton/tom-cotton-says-he-wouldnt-back-changes-those-medi/
false,Says President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.,https://www.politifact.com/factchecks/2020/may/01/facebook-posts/gift-shop-selling-covid-19-coins-not-white-house/
false,"The U.S. economy is ""recovering slower than Europe """,https://www.politifact.com/factchecks/2012/may/07/bob-mcdonnell/bob-mcdonnell-says-us-trails-europe-economic-recov/
false,"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",https://www.politifact.com/factchecks/2009/oct/09/john-kline/rep-john-kline-and-other-republicans-say-under-hat/
true,"47 percent of Americans ""can’t pay for an unexpected $400 expense through savings or credit cards, without selling something or borrowing money.""",https://www.politifact.com/factchecks/2015/jun/09/hunter-schwarz/47-say-they-lack-ready-cash-pay-surprise-400-bill/
true,"Says that in 2011, Oregon had ""the second fastest growing economy in the nation.""",https://www.politifact.com/factchecks/2012/dec/05/john-kitzhaber/did-oregon-have-nations-second-fastest-growing-eco/
false,"The White House plans to call for lockdowns due to the delta variant and is ""aiming for late 2nd week of August, per WH official.""",https://www.politifact.com/factchecks/2021/aug/12/jack-posopiec/conservative-pundits-say-biden-and-democrats-want-/
false,Annexation would lead to overcrowding at Decatur’s city schools.,https://www.politifact.com/factchecks/2015/sep/16/internet-commenters/annexation-or-no-decatur-schools-are-overcrowded/
true,"""I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.""",https://www.politifact.com/factchecks/2017/oct/10/bruce-rauner/rauner-consistent-start-his-pro-choice-views/
true,"Says people who signed recall petitions against Wisconsin state Sen. Jim Holperin received ""harassing phone calls from out-of-state telemarketers claiming to represent the Democratic Party and insinuating foul play by petition circulators.""",https://www.politifact.com/factchecks/2011/may/18/kim-simac/wisconsin-tea-party-leader-says-democrat-hired-tel/
true,"George Allen voted for budgets that increased the national debt by $16,400 for every second he served in the U.S. Senate.",https://www.politifact.com/factchecks/2011/jan/24/jamie-radtke/jamie-radtke-says-debt-grew-16000-every-second-geo/
false,"John Adcock and Republicans’ plan for health care ""would get rid of coverage altogether for thousands of families and raise premiums on the rest of us.""",https://www.politifact.com/factchecks/2018/oct/23/sydney-batch/democrat-falsely-links-newly-appointed-republican-/
true,"""Ninety-five percent of Oregonians now have health insurance coverage, tens of thousands for the very first time.""",https://www.politifact.com/factchecks/2014/oct/20/john-kitzhaber/do-95-percent-oregonians-now-have-health-insurance/
false,"Democrats and Joe Biden ""want to abolish the suburbs altogether by ending single-family home zoning.""",https://www.politifact.com/factchecks/2020/aug/25/patricia-mccloskey/st-louis-couple-who-aimed-guns-protesters-makes-fa/
true,"""The U.S. military footprint in Africa is nearly nonexistent.""",https://www.politifact.com/factchecks/2014/jun/12/hillary-clinton/hillary-clinton-says-memoir-theres-very-little-us-/
true,Federal regulations required the changes to Georgia's driver’s license renewal process.,https://www.politifact.com/factchecks/2012/jul/17/david-ralston/house-speaker-says-911-regulations-led-new-guideli/
true,"State ""school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.""",https://www.politifact.com/factchecks/2015/jan/12/virginia-education-association/teachers-group-says-vas-school-funding-16-below-in/
true,"Taxpayers pay $18,000 a month for House Speaker Nancy Pelosi's district office in downtown San Francisco.",https://www.politifact.com/factchecks/2010/sep/15/john-dennis/gop-rival-says-taxpayers-pay-18000month-nancy-pelo/
true,"""I am the only candidate that has endorsed Bernie Sanders for President. In PA, I've got Bernie's back.""",https://www.politifact.com/factchecks/2016/feb/04/john-fetterman/fetterman-says-he-only-senate-candidate-backing-sa/
false,"""Dyson is canceling their contract with Walmart and selling off Dyson Supersonic"" hair dryers ""only for $1!""",https://www.politifact.com/factchecks/2022/jan/24/facebook-posts/no-walmart-not-selling-dyson-supersonic-hair-dryer/
true,Says Barack Obama didn't keep his promise to have an immigration bill in his first year.,https://www.politifact.com/factchecks/2010/aug/21/jerry-patterson/jerry-patterson-says-barack-obama-broke-his-promis/
true,"""Under this tax cut, middle-class families don't save enough for a week's worth of groceries, while millionaires save enough to go on an exotic vacation.""",https://www.politifact.com/factchecks/2012/jan/22/lou-greenwald/lou-greenwald-claims-governors-proposed-income-tax/
true,"""On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.""",https://www.politifact.com/factchecks/2020/apr/02/facebook-posts/yes-us-shipped-donated-personal-protective-equipme/
true,Suzanne Bonamici was the only no vote on a 2009 bill cracking down on drunk drivers.,https://www.politifact.com/factchecks/2012/jan/14/rob-cornilles/was-suzanne-bonamici-sole-no-vote-senate-drunk-dri/
false,"""Nobody is found dead of corona in their homes.. They all die at the hospital.""",https://www.politifact.com/factchecks/2020/sep/18/facebook-posts/people-have-died-covid-19-home/
true,"""Teddy Roosevelt first called for (health care) reform nearly a century ago.""",https://www.politifact.com/factchecks/2009/mar/05/barack-obama/Obama-goes-back-to-his-Republican-roots-on-health-/
true,"""Rhode Island’s exports have increased by 53 percent in the last two years.""",https://www.politifact.com/factchecks/2012/apr/17/lisa-tomasso/rhode-island-state-rep-lisa-tomasso-says-exports-o/
true,"""Bernie Sanders passed more roll call amendments in a Republican Congress than any other member.""",https://www.politifact.com/factchecks/2016/mar/24/bernie-sanders/bernie-sanders-was-roll-call-amendment-king-1995-2/
true,"The United States has ""one of the highest corporate tax rates in the world.""",https://www.politifact.com/factchecks/2011/jan/26/barack-obama/barack-obama-state-union-says-us-corporate-tax-rat/
true,Claims Ohio Gov. John Kasich says climate change is a problem.,https://www.politifact.com/factchecks/2012/aug/29/florida-wildlife-federation/convention-billboard-touts-john-kasichs-view-clima/
true,"""Over the past twenty years, the number of homicides committed with a firearm in the United States has decreased by nearly 40 percent. The number of other crimes involving the use of a firearm has also plummeted, declining by nearly 70 percent.""",https://www.politifact.com/factchecks/2013/sep/07/doug-whitsett/have-gun-related-homicides-other-serious-crimes-de/
false,"Says ""$57,000 is the mean [income] in our state"" for a family.",https://www.politifact.com/factchecks/2012/apr/25/sheila-oliver/sheila-oliver-says-average-family-income-new-jerse/
false,"""It was allowed,"" referring to her email practices.",https://www.politifact.com/factchecks/2016/may/31/hillary-clinton/fact-checking-hillary-clintons-claim-her-email-pra/
false,"Illegal immigration ""wasn’t a subject that was on anybody’s mind until I brought it up at my announcement.""",https://www.politifact.com/factchecks/2015/aug/07/donald-trump/trump-illegal-immigration-wasnt-anyones-mind-he-en/
false,"""Vice President Biden threatened a foreign country and forced them to fire a prosecutor who was investigating a company,"" that paid his son Hunter.",https://www.politifact.com/factchecks/2020/jan/30/rick-scott/sen-rick-scotts-iowa-ad-misleads-about-joe-biden-a/
true,"Says Rick Perry ""provided in-state tuition... for illegal immigrants.""",https://www.politifact.com/factchecks/2011/sep/23/rick-santorum/rick-santorum-says-rick-perry-provided-state-colle/
true,"""In some states, it is still legal to deny a woman coverage because she's been the victim of domestic violence.""",https://www.politifact.com/factchecks/2009/sep/21/michelle-obama/michelle-obama-claims-domestic-violence-counts-pre/
false,"""Ohio, Michigan, and Pennsylvania actually in the latest jobs data have lost jobs, not gained them.""",https://www.politifact.com/factchecks/2019/oct/16/julian-castro/julian-castro-wrong-about-job-losses-ohio-michigan/
true,"""Two years after the worst recession most of us have ever known ... corporate profits are up.""",https://www.politifact.com/factchecks/2011/jan/26/barack-obama/barack-obama-state-union-says-corporate-profits-ar/
true,"""Congress can tell [the Supreme Court] which cases they ought to hear. We have that authority.""",https://www.politifact.com/factchecks/2010/apr/29/arlen-specter/specter-says-congress-can-tell-supreme-court-wh/
false,"""After four years of a celebrity president … 85% (of recent college grads are) moving back in with their parents.""",https://www.politifact.com/factchecks/2012/may/01/american-crossroads/american-crossroads-ad-says-85-percent-recent-coll/
false,"""New autopsy reports suggest Jeffrey Epstein most likely died from COVID-19 complications.""",https://www.politifact.com/factchecks/2020/may/08/viral-image/theres-no-new-autopsy-report-linking-jeffrey-epste/
false,"There are ""22 million illegal aliens living in America and ... voting illegally.""",https://www.politifact.com/factchecks/2021/jul/27/facebook-posts/no-evidence-viral-claim-22-million-illegal-aliens-/
false,Says many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.,https://www.politifact.com/factchecks/2011/jul/10/scott-walker/gov-scott-walker-says-public-employee-unions-false/
false,"""The cost-of-living increase in Social Security is tied to wage inflation.""",https://www.politifact.com/factchecks/2011/jun/15/rick-santorum/rick-santorum-says-social-security-cost-living-adj/
false,"Says Bill Gates said ""at least 3 billion people need to die"" from the planet.",https://www.politifact.com/factchecks/2021/jan/27/instagram-posts/bill-gates-didnt-say-3-billion-people-need-die-rev/
false,"Says that at Beto O’Rourke’s rally in El Paso, there were ""200 people, 300 people.""",https://www.politifact.com/factchecks/2019/feb/12/donald-trump/did-beto-orourke-attract-only-200-or-300-people-hi/
false,"""All signs seem to point to Hillary (Clinton) laying the groundwork to run for president again.""",https://www.politifact.com/factchecks/2019/nov/15/kay-hoflander/no-hillary-clinton-not-currently-laying-groundwork/
true,"Providence has ""the lowest crime rate in three decades.""",https://www.politifact.com/factchecks/2010/jul/19/david-cicilline/cicilline-says-providence-crime-rate-lowest-30-yea/
false,"Says Joe Biden has ""allowed males to compete in girls’ sports.""",https://www.politifact.com/factchecks/2021/feb/02/facebook-posts/biden-administration-did-not-dictate-specific-chan/
false,"""Your chances of throwing it are actually a little bit better in that situation.""",https://www.politifact.com/factchecks/2016/dec/20/doug-pederson/doug-pederson-and-truth-about-two-point-conversion/
true,"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",https://www.politifact.com/factchecks/2021/jan/15/devin-lemahieu/yes-slow-absentee-count-explains-supposed-ballot-d/
true,McCain tells of a fellow Vietnam POW who was beaten for fashioning an American flag that became an inspirational symbol to fellow POWs.,https://www.politifact.com/factchecks/2008/jul/02/chain-email/fellow-pow-backs-up-mccains-story/
false,"Says Tammy Baldwin ""wants to require children starting at age 5 to learn about gay sex!""",https://www.politifact.com/factchecks/2017/feb/27/restore-american-freedom-and-liberty/no-evidence-pacs-claim-tammy-baldwin-wants-require/
true,"In more than 60 cases, judges ""looked at the allegations that Trump was making and determined they were without any merit.""",https://www.politifact.com/factchecks/2021/jan/08/joe-biden/joe-biden-right-more-60-trumps-election-lawsuits-l/
false,"Says Donald Trump posed as an anonymous ""Nevada poll worker"" on Laura Ingraham’s show.",https://www.politifact.com/factchecks/2020/nov/13/instagram-posts/no-trump-didnt-pose-poll-worker-laura-ingrahams-sh/
true,"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",https://www.politifact.com/factchecks/2019/apr/20/donald-trump/trump-calls-out-ny-dems-vote-expansion-military-be/
true,"Says he ""paid one dollar for"" a sweater at Kohl’s.",https://www.politifact.com/factchecks/2015/apr/03/scott-walker/gov-scott-walker-says-he-bought-sweater-1-kohls/
false,"""Every engine manufacturer in the United States is now in the state of Texas.""",https://www.politifact.com/factchecks/2013/sep/20/rick-perry/rick-perry-every-engine-maker-texas/
false,Electric vehicles would not have fared well in the Virginia snowstorm traffic jam.,https://www.politifact.com/factchecks/2022/jan/07/facebook-posts/theres-no-evidence-electric-vehicles-fare-worse-ga/
false,"""Florida school drops Common Core – soars to number one""",https://www.politifact.com/factchecks/2020/jan/02/blog-posting/no-florida-school-did-not-ditch-common-core-and-th/
false,"Obamacare ""is in what the actuaries call a death spiral.""",https://www.politifact.com/factchecks/2017/jan/18/paul-ryan/paul-ryan-wrongly-claims-actuaries-have-determined/
false,"The health care law is ""the largest tax [increase] in the history of our country""",https://www.politifact.com/factchecks/2012/jul/11/phil-gingrey/gingrey-claim-about-obama-health-care-old-inaccura/
false,"""1 percent of candidates that (the National Rifle Association) endorsed in 2012 won.""",https://www.politifact.com/factchecks/2013/sep/17/van-jones/van-jones-says-just-1-percent-nra-endorsed-candida/
false,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.""",https://www.politifact.com/factchecks/2022/feb/22/marjorie-taylor-greene/marjorie-taylor-greene-falsely-claims-ukraine-was-/
false,"""For a young man or woman who is entering the ninth grade in Newark this year, they have a 29 percent graduation rate.""",https://www.politifact.com/factchecks/2011/jun/15/chris-christie/gov-chris-christie-says-graduation-rate-29-percent/
false,Says that the Council on American-Islamic Relations was founded in response to 9/11.,https://www.politifact.com/factchecks/2019/apr/15/ilhan-omar/ilhan-omar-misstates-facts-about-cairs-founding/
true,"A report by the health insurance industry ""ignores some of the key policies that are part of the Senate Finance Committee bill.""",https://www.politifact.com/factchecks/2009/oct/13/nancy-ann-deparle/study-health-insurers-says-premiums-will-rise-its-/
true,"""He even supports putting a female inmate in shackles during childbirth.""",https://www.politifact.com/factchecks/2018/oct/19/andrew-cuomo/cuomo-attacks-molinaro-record-womens-issues/
false,"President Barack Obama suggested on national TV that the Democratic health care bill ""will have government decide"" that a healthy, 100-year-old woman in need of a pacemaker ""should take a pain pill"" instead.",https://www.politifact.com/factchecks/2009/aug/03/dan-lungren/lungren-says-obama-would-have-government-require-c/
true,"Federal spending is ""all discretionary, other than interest on the national debt. Social Security is discretionary. We have the discretion to change the law. Same is true with Medicare and Medicaid.""",https://www.politifact.com/factchecks/2011/mar/15/george-will/george-will-says-all-federal-spending-ultimately-d/
true,"Federal law adopted ""under Tommy Thompson's watch"" prohibits the government from negotiating for ""better prices"" on prescription drugs for senior citizens",https://www.politifact.com/factchecks/2012/sep/04/tammy-baldwin/uncle-sam-barred-bargaining-medicare-drug-prices-s/
false,Says the oil industry subsidies that President Barack Obama is attacking don’t exist,https://www.politifact.com/factchecks/2012/may/04/bill-johnson/bill-johnson-says-subsidies-oil-companies-barack-o/
true,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",https://www.politifact.com/factchecks/2022/mar/11/glenn-grothman/us-making-progress-cutting-greenhouse-gas-emission/
false,"Jobs incentive program ""created over 1,200 high-wage jobs since 2009.""",https://www.politifact.com/factchecks/2010/oct/03/tammy-hall/lee-commissioner-tammy-hall-says-jobs-program-brou/
false,"""Gov Roy Cooper does not consider Type 1 diabetes an under lying health issue!""",https://www.politifact.com/factchecks/2021/feb/18/billboard/how-are-cdc-north-carolina-treating-type-1-diabete/
true,"Science is ""very certain"" that the measles vaccine doesn't cause autism.",https://www.politifact.com/factchecks/2015/feb/03/megyn-kelly/foxs-kelly-science-measles-vaccine-safety-certain-/
false,Image shows U.S. National Guard Sgt. Leigh Ann Hester.,https://www.politifact.com/factchecks/2019/dec/03/sid-miller/no-not-photo-sgt-leigh-ann-hester/
true,"""The No. 1 issue that the American people care about is getting America back to work.""",https://www.politifact.com/factchecks/2010/jan/20/john-cornyn/sen-john-cornyn-says-americans-rate-getting-back-w/
false,"Says Ted Strickland admits his record on jobs and taxes is ""mixed and spotty.""",https://www.politifact.com/factchecks/2016/may/13/fighting-ohio-pac/fighting-ohio-pac-ad-takes-ted-stricklands-mixed-a/
true,"The estimated price of President Trump’s border wall is the same as the cost of ""one and a half aircraft carriers.""",https://www.politifact.com/factchecks/2017/apr/28/scott-peters/would-trumps-border-wall-cost-same-one-and-half-us/
true,"""Thanks to you, in under one week we have the largest GOP (Facebook) page in the Governor's race!""",https://www.politifact.com/factchecks/2010/apr/22/rick-scott/rick-scott-republican-governor-facebook/
false,"After Russia invaded Ukraine, Google Maps ""opened all military and strategic facilities in Russia.""",https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/google-maps-did-not-change-blurring-settings-revea/
false,"Says Nancy Pelosi said, ""Just because someone is here illegally doesn’t mean they broke any of our laws.""",https://www.politifact.com/factchecks/2019/may/29/viral-image/no-source-supposed-pelosi-statement-about-undocume/
true,"""In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.""",https://www.politifact.com/factchecks/2016/sep/20/charlie-crist/charlie-crist-says-florida-was-no-1-violent-crime/
false,"Says Beto O’Rourke is ""the only candidate to the U.S. Senate to call for"" impeaching President Donald Trump.",https://www.politifact.com/factchecks/2018/jul/25/ted-cruz/beto-orourke-only-senate-candidate-call-donald-tru/
false,Ron Howard wrote a Facebook post about being a liberal.,https://www.politifact.com/factchecks/2020/may/26/facebook-posts/ron-howard-didnt-write-viral-post-about-being-libe/
true,Preventive care does not save the government money.,https://www.politifact.com/factchecks/2009/aug/17/david-brooks/brooks-claims-preventive-care-will-cost-government/
true,"During Lyndon B. Johnson’s first 20 years in Congress, ""he opposed every civil rights measure that came up for a vote.""",https://www.politifact.com/factchecks/2014/apr/14/barack-obama/lyndon-johnson-opposed-every-civil-rights-proposal/
true,"""If you will go look up the definition of 'act of God,' we've used it in legal terms for a long time in this state.""",https://www.politifact.com/factchecks/2010/may/06/rick-perry/gov-rick-perry-says-oil-rig-explosion-could-have-b/
true,"""Austin is number one in Texas in startups, venture capital and patents.""",https://www.politifact.com/factchecks/2016/may/13/steve-adler/steve-adler-correctly-says-austin-no-1-texas-start/
true,"""I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.""",https://www.politifact.com/factchecks/2010/oct/24/charlie-crist/charlie-crist-claims-florida-legislature-was-first/
true,"""By funding the authorization that’s already happened a decade ago (in the Secure Fence Act of 2006), we could start the process of meeting Mr. Trump’s campaign pledge to secure the border.""",https://www.politifact.com/factchecks/2017/jan/17/luke-messer/rep-luke-messer-correct-2006-act-allows-border-wal/
false,"The Biden administration ""gifted the Taliban with $80 billion-plus"" in military-grade weapons but now ""wants your 9mm pistols.""",https://www.politifact.com/factchecks/2021/aug/20/viral-image/no-proof-biden-left-taliban-80b-weapons-or-he-want/
true,"""You can fill out your tax return in Estonia online in five minutes.""",https://www.politifact.com/factchecks/2015/jun/04/jeb-bush/jeb-bush-says-estonians-can-file-their-taxes-five-/
true,"""The number of terrorists out there"" has doubled.",https://www.politifact.com/factchecks/2014/jun/22/dick-cheney/dick-cheney-number-terrorists-has-doubled/
true,"Between 1980 and 2010, water usage in Georgia dropped even as the state’s population grew.",https://www.politifact.com/factchecks/2015/jun/24/athens-banner-herald/did-georgias-water-use-drop-even-state-population-/
false,"""There's no evidence that white supremacists were responsible for what happened on Jan. 6. That's a lie.""",https://www.politifact.com/factchecks/2021/feb/23/tucker-carlson/tucker-carlsons-false-claim-downplaying-role-white/
true,"A typical married couple ""will contribute $119,000"" into Medicare but will ""receive $357,000 in Medicare benefits over their lifetimes.""",https://www.politifact.com/factchecks/2012/jan/24/bob-corker/tennessee-sen-bob-corker-says-typical-couple-takes/
true,"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.""",https://www.politifact.com/factchecks/2016/feb/26/hillary-clinton/hillary-clinton-says-blacks-more-likely-be-arreste/
false,Donations of baby formula to Ukraine helped cause the current U.S. shortage.,https://www.politifact.com/factchecks/2022/may/17/facebook-posts/aby-formula-donations-ukraine-not-linked-us-shorta/
true,"""Jeff Greene only moved from California to Florida in the last two years. In fact, he would not legally be allowed to run for any other statewide office because he has not lived here long enough to meet the residency requirement.""",https://www.politifact.com/factchecks/2010/may/24/kendrick-meek/meek-claims-greene-moved-florida-two-years-ago/
true,"""When the Republicans were in charge, they actually expanded government health care with the prescription drug program.""",https://www.politifact.com/factchecks/2011/jul/25/ron-paul/ron-paul-says-when-republicans-were-power-they-exp/
false,"""There's nothing in the voting instructions that we've been getting in the last several elections that lets you know"" about the limitations of the master lever.",https://www.politifact.com/factchecks/2010/aug/02/catherine-taylor/taylor-says-voters-havent-been-adequately-informed/
false,Headlines show CNN published contradictory reports about hydroxychloroquine in 2020.,https://www.politifact.com/factchecks/2021/jul/15/facebook-posts/headlines-show-cnn-published-contradictory-reports/
true,Three courts have found the new health care law constitutional and two have found it unconstitutional.,https://www.politifact.com/factchecks/2011/apr/06/james-roosevelt/tufts-health-plan-ceo-says-judges-have-split-3-2-c/
true,Says Spectrum will provide free internet to students during coronavirus school closures.,https://www.politifact.com/factchecks/2020/mar/17/viral-image/internet-provider-offer-free-internet-amid-coronav/
true,"Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama's red line was crossed.",https://www.politifact.com/factchecks/2017/apr/05/greta-van-susteren/fact-checking-trump/
true,"""Almost 10 percent of Canadians came to visit Florida last year ... (Canadians) buy 7.4 percent of our homes in the state.""",https://www.politifact.com/factchecks/2011/jun/21/rick-scott/gov-rick-scott-says-canadians-love-florida-beaches/
true,"""The Railroad Commission of Texas has nothing to do with railroads.""",https://www.politifact.com/factchecks/2018/jul/19/roman-mcallen/texas-railroad-commission-nothing-to-do-railroads-/
false,Says Whoopi Goldberg kept her job and was applauded by ABC after calling Jeanine Pirro a racist slur.,https://www.politifact.com/factchecks/2019/jul/26/viral-image/no-evidence-whoopi-goldberg-called-jeanine-pirro-s/
true,"Says state Senate recall challenger Sandy Pasch voted ""to cut school aid by nearly $300 million.""",https://www.politifact.com/factchecks/2011/jul/20/club-growth/club-growth-wisconsin-ad-says-senate-recall-candid/
true,"The Atlanta Braves are ""the oldest continuously operating professional sports franchise in America.""",https://www.politifact.com/factchecks/2010/dec/14/atlanta-braves/braves-go-back-back-back/
false,A photo shows Brian Kemp posing with Gregory McMichael.,https://www.politifact.com/factchecks/2020/may/08/viral-image/no-isnt-photo-brian-kemp-and-gregory-mcmichael/
true,"""The budget submitted by Obama will add more to the debt than the outstanding debt of the previous 43 presidents combined.""",https://www.politifact.com/factchecks/2010/nov/07/eric-cantor/cantor-says-obama-budget-adds-more-debt-totaled-43/
false,"Says Hillary Clinton's health care plan from the 1990s ""had a broader provision in favor of corporate right to back out"" of providing contraceptive coverage than the one created by the Hobby Lobby Supreme Court decision.",https://www.politifact.com/factchecks/2014/jul/08/newt-gingrich/gingrich-hillary-clintons-health-plan-had-broad-re/
